symptoms,disease
"high_fever,severe_headache,muscle_pain,joint_pain,pain_behind_eyes",Dengue Fever
"fever,chills,sweating,headache,nausea,vomiting,body_ache",Malaria
"high_fever,abdominal_pain,weakness,headache,loss_of_appetite",Typhoid
"fever,severe_headache,stiff_neck,confusion,sensitivity_to_light",Meningitis
"fever,cough,chest_pain,difficulty_breathing,rapid_heartbeat",Pneumonia
"abdominal_pain,diarrhea,nausea,vomiting,fever,weakness",Gastroenteritis
"persistent_cough,chest_pain,coughing_blood,weight_loss,night_sweats",Tuberculosis
"fever,jaundice,dark_urine,pale_stool,abdominal_pain",Hepatitis
"high_fever,severe_body_ache,joint_pain,headache,rash,nausea",Dengue Fever
"fever,chills,sweating,muscle_pain,headache,fatigue",Malaria
"fever,weakness,abdominal_pain,headache,diarrhea",Typhoid
"sore_throat,fever,body_ache,headache,cough",Influenza (Flu)
"runny_nose,sneezing,cough,sore_throat,mild_headache",Common Cold
"fever,cough,loss_of_smell,fatigue,difficulty_breathing",COVID-19
"sneezing,runny_nose,watery_eyes,itchy_nose,congestion",Allergic Rhinitis
"cough,wheezing,chest_pain,shortness_of_breath,fatigue",Bronchitis
"high_fever,joint_pain,severe_headache,pain_behind_eyes,muscle_pain",Dengue Fever
"fever,chills,sweating,nausea,vomiting,headache",Malaria
"high_fever,abdominal_pain,weakness,constipation,headache",Typhoid
"fever,stiff_neck,severe_headache,vomiting,confusion",Meningitis
"fever,cough,chest_pain,shortness_of_breath,chills",Pneumonia
"diarrhea,abdominal_pain,nausea,fever,vomiting",Gastroenteritis
"sore_throat,fever,swollen_lymph_nodes,difficulty_swallowing",Strep Throat
"fever,rash,cough,conjunctivitis,runny_nose",Measles
"fever,fatigue,sore_throat,swollen_glands,body_ache",Mononucleosis
"high_fever,severe_joint_pain,muscle_pain,rash,headache",Chikungunya
"fever,rash,joint_pain,red_eyes,headache",Zika Virus
"persistent_cough,night_sweats,weight_loss,chest_pain,fatigue",Tuberculosis
"fever,jaundice,nausea,abdominal_pain,loss_of_appetite",Hepatitis
"fever,sore_throat,swollen_tonsils,headache,body_ache",Tonsillitis
"high_fever,severe_headache,joint_pain,muscle_pain,bleeding_gums",Dengue Hemorrhagic Fever
"fever,chills,sweating,headache,body_ache,nausea",Malaria
"high_fever,weakness,abdominal_pain,loss_of_appetite,diarrhea",Typhoid
"fever,body_ache,cough,fatigue,headache,sore_throat",Influenza (Flu)
"runny_nose,sneezing,sore_throat,congestion,mild_fever",Common Cold
"fever,cough,difficulty_breathing,loss_of_taste,chest_pain",COVID-19
"sneezing,watery_eyes,runny_nose,itchy_eyes,congestion",Allergic Rhinitis
"cough,chest_pain,wheezing,difficulty_breathing,fatigue",Bronchitis
